instance,dimension,algorithm,budget_mode,runs,best_known,best,mean,std,median,mean_gap_percent,best_gap_percent,rank_within_instance
berlin52,52,ABC/BCO,fast,2,7542,10402,10681.0,394.5655839020935,10681.0,41.62025987801644,37.9209758684699,2.0
berlin52,52,ACO,fast,2,7542,8458,8480.5,31.81980515339464,8480.5,12.443648899496155,12.145319543887563,1.0
berlin52,52,GA,fast,2,7542,12371,13466.5,1549.2709575797255,13466.5,78.55343410236011,64.02810925483956,4.0
berlin52,52,MWI-H,fast,2,7542,12660,13062.5,569.2209588551708,13062.5,73.19676478387696,67.85998408910103,3.0
berlin52,52,SA,fast,2,7542,17549,17858.5,437.6990975544729,17858.5,136.78732431715724,132.68363829223017,5.0
ch150,150,ABC/BCO,fast,2,6528,13524,13561.0,52.32590180780452,13561.0,107.7359068627451,107.16911764705883,3.0
ch150,150,ACO,fast,2,6528,7490,7510.5,28.991378028648448,7510.5,15.050551470588236,14.736519607843137,1.0
ch150,150,GA,fast,2,6528,15812,15838.0,36.76955262170047,15838.0,142.61642156862746,142.21813725490196,5.0
ch150,150,MWI-H,fast,2,6528,12331,12603.0,384.66608896548183,12603.0,93.06066176470588,88.89399509803921,2.0
ch150,150,SA,fast,2,6528,13410,13870.5,651.2453454728103,13870.5,112.47702205882354,105.42279411764706,4.0
d493,493,ABC/BCO,fast,2,35002,70540,72829.5,3237.8419510532012,72829.5,108.07239586309353,101.53134106622478,3.0
d493,493,ACO,fast,2,35002,43193,43392.0,281.4284989122459,43392.0,23.970058853779783,23.40151991314782,1.0
d493,493,GA,fast,2,35002,82520,83192.5,951.0586206959064,83192.5,137.67927546997313,135.75795668818924,5.0
d493,493,MWI-H,fast,2,35002,63861,63995.5,190.21172413918129,63995.5,82.8338380663962,82.44957431003942,2.0
d493,493,SA,fast,2,35002,73374,74961.0,2244.356923486102,74961.0,114.16204788297811,109.62802125592823,4.0
eil76,76,ABC/BCO,fast,2,538,875,883.5,12.020815280171307,883.5,64.21933085501858,62.639405204460964,3.0
eil76,76,ACO,fast,2,538,581,600.0,26.870057685088806,600.0,11.524163568773234,7.992565055762082,1.0
eil76,76,GA,fast,2,538,962,993.5,44.54772721475249,993.5,84.66542750929368,78.81040892193309,5.0
eil76,76,MWI-H,fast,2,538,846,853.5,10.606601717798213,853.5,58.64312267657993,57.24907063197026,2.0
eil76,76,SA,fast,2,538,968,987.0,26.870057685088806,987.0,83.45724907063197,79.92565055762081,4.0
kroA100,100,ABC/BCO,fast,2,21282,40879,41831.0,1346.3313113791864,41831.0,96.55577483319237,92.08251104219528,3.0
kroA100,100,ACO,fast,2,21282,24599,24733.5,190.21172413918129,24733.5,16.217930645616015,15.585941170942581,1.0
kroA100,100,GA,fast,2,21282,47930,51535.0,5098.239892355007,51535.0,142.1529931397425,125.21379569589324,4.0
kroA100,100,MWI-H,fast,2,21282,39722,40864.5,1615.738995011261,40864.5,92.01437834789964,86.64599191805281,2.0
kroA100,100,SA,fast,2,21282,51133,51675.5,767.2108575874041,51675.5,142.81317545343484,140.26407292547694,5.0
lin318,318,ABC/BCO,fast,2,42029,98705,100478.0,2507.4006460874975,100478.0,139.06826239025435,134.84974660353566,3.0
lin318,318,ACO,fast,2,42029,49905,50716.5,1147.6343058657667,50716.5,20.67025149301673,18.739441813985582,1.0
lin318,318,GA,fast,2,42029,109888,111756.5,2642.458041294128,111756.5,165.90330486092938,161.45756501463276,5.0
lin318,318,MWI-H,fast,2,42029,82806,86496.5,5219.155151937907,86496.5,105.80194627519094,97.02110447548121,2.0
lin318,318,SA,fast,2,42029,104329,109476.5,7279.664312315506,109476.5,160.47847914535203,148.23098336862643,4.0
pcb442,442,ABC/BCO,fast,2,50778,110951,111407.5,645.5884912233179,111407.5,119.40111859466698,118.50210721178463,3.0
pcb442,442,ACO,fast,2,50778,60448,61234.5,1112.2789668064393,61234.5,20.592579463547203,19.043680334002914,1.0
pcb442,442,GA,fast,2,50778,125214,127554.5,3309.966842734229,127554.5,151.20032297451652,146.5910433652369,5.0
pcb442,442,MWI-H,fast,2,50778,97536,100206.0,3775.950211536164,100206.0,97.34136830911024,92.08318563157273,2.0
pcb442,442,SA,fast,2,50778,112586,113793.0,1706.9557697843256,113793.0,124.09901926030957,121.72200559297333,4.0
pr439,439,ABC/BCO,fast,2,107217,271981,273770.0,2530.0280630854672,273770.0,155.34197002341045,153.67339134652153,3.0
pr439,439,ACO,fast,2,107217,133912,134854.0,1332.1891757554556,134854.0,25.77669585979835,24.898103845472267,1.0
pr439,439,GA,fast,2,107217,306124,314361.0,11648.877113267185,314361.0,193.20070511206245,185.51815477023234,5.0
pr439,439,MWI-H,fast,2,107217,237310,242150.0,6844.79364188578,242150.0,125.85037820494884,121.33616870458975,2.0
pr439,439,SA,fast,2,107217,276517,289854.0,18861.36628136997,289854.0,170.34332242088476,157.90406372123823,4.0
pr76,76,ABC/BCO,fast,2,108159,191446,192898.0,2053.438092565734,192898.0,78.3466932941318,77.0042252609584,2.0
pr76,76,ACO,fast,2,108159,132138,133905.5,2499.6224714944456,133905.5,23.804306622657386,22.17013840734474,1.0
pr76,76,GA,fast,2,108159,240337,247096.5,9559.376574860937,247096.5,128.4567165007073,122.20712099779028,5.0
pr76,76,MWI-H,fast,2,108159,195755,202611.5,9696.555290411126,202611.5,87.32745310145249,80.98817481670504,3.0
pr76,76,SA,fast,2,108159,202888,211512.5,12196.884868686759,211512.5,95.557004040348,87.58309525790735,4.0
rat99,99,ABC/BCO,fast,2,1211,2044,2221.0,250.31580054003783,2221.0,83.40214698596202,68.78612716763006,3.0
rat99,99,ACO,fast,2,1211,1440,1464.5,34.64823227814083,1464.5,20.933113129644923,18.909991742361683,1.0
rat99,99,GA,fast,2,1211,2500,2524.5,34.64823227814083,2524.5,108.46407927332783,106.44095788604459,4.0
rat99,99,MWI-H,fast,2,1211,2118,2137.0,26.870057685088806,2137.0,76.46573080099091,74.89677952105698,2.0
rat99,99,SA,fast,2,1211,2711,2852.5,200.11121907579295,2852.5,135.5491329479769,123.86457473162676,5.0
tsp225,225,ABC/BCO,fast,2,3919,8223,8328.5,149.19953083036154,8328.5,112.51594794590457,109.82393467721357,3.0
tsp225,225,ACO,fast,2,3919,4862,5007.5,205.76807332528534,5007.5,27.774942587394744,24.06226078081143,1.0
tsp225,225,GA,fast,2,3919,8623,8995.0,526.0874452027914,8995.0,129.52283745853532,120.03062005613677,5.0
tsp225,225,MWI-H,fast,2,3919,7151,7341.5,269.4076836320746,7341.5,87.33095177341158,82.47001786169942,2.0
tsp225,225,SA,fast,2,3919,8306,8764.5,648.4169183480641,8764.5,123.64123500893083,111.94182189334013,4.0
